L	a	b
68,3928	5,9716	17,4447
59,1206	13,3773	20,1456
61,8050	15,0281	16,7479
59,2540	18,0732	15,8353
61,3195	12,6767	19,0049
60,9236	13,2002	16,5811
61,3873	20,0353	16,1736
54,9630	21,4136	14,8489
65,3319	6,3870	16,6936
63,7792	8,0234	21,2394
66,9633	6,1259	17,7256
69,2665	7,7844	15,9823
66,2489	13,1704	16,6165
67,0297	8,5103	18,3952
62,9940	15,7245	15,3266
67,6460	9,0567	17,4397
61,8925	21,7552	14,5332
68,9278	11,6339	16,1725
62,4670	10,2285	17,8989
65,3350	7,9438	20,6986
69,0439	5,8567	17,9629
67,1695	10,0604	17,5796
61,5285	17,5180	15,9126
66,0759	10,4771	18,1313
64,7421	15,8126	16,9143
66,9046	10,7796	17,3910
66,5851	11,2102	16,8787
64,1386	16,3686	18,1632
62,7354	10,6201	18,9020
64,9033	9,6981	19,4626
67,6074	9,9951	13,4958
62,2975	14,7017	16,1619
60,1957	18,4099	14,2552
63,5634	12,7119	16,5906
60,6566	20,0189	15,4257
62,1565	16,6962	15,7293
59,9986	23,9162	17,2551
59,9381	20,6092	14,6104
64,1465	10,3789	17,8117
65,2123	7,9641	18,2126
67,8347	6,9638	16,5948
61,9588	9,9427	21,7335
61,3336	12,8544	17,1166
64,2669	10,7850	15,6964
65,1076	12,3418	14,0870
59,5731	11,7914	19,1420
65,7638	16,8014	15,0246
57,5938	19,7003	15,5693
63,0983	7,5772	22,2847
71,7927	5,4755	14,9492
71,0470	5,5664	16,6013
66,9537	8,4447	15,6317
60,9846	16,9590	13,7529
64,9198	12,0902	17,3362
64,1921	15,2317	14,7196
63,0920	13,6398	17,8956
57,2250	27,2105	18,6037
63,0018	16,7103	18,7081
59,9450	7,0983	18,3095
64,4717	8,8776	20,1116
64,7509	8,6704	18,6517
64,2070	8,9394	17,2151
63,1319	13,9720	18,3020
61,1153	14,0048	17,4966
65,4960	13,8149	17,0317
61,8837	11,2096	17,6607
61,4396	21,7425	16,2586
62,5523	15,7716	17,9157
63,6076	10,2078	21,5648
60,4517	9,6700	20,6456
66,8976	6,2298	19,3677
67,4647	6,8013	16,6532
62,5076	15,1687	15,9123
64,6733	10,6302	18,8607
61,8197	15,9808	17,2017
63,3940	11,7066	18,2071
66,7934	16,3675	18,0715
64,9408	14,8033	17,1424
65,8034	9,1138	18,5675
68,0056	6,1490	18,7787
70,5624	4,4153	14,5813
67,5014	8,7029	18,0441
58,0430	13,8499	15,9906
66,9229	10,8375	18,3333
64,8340	15,9547	13,7581
63,5303	14,3087	16,2631
63,0109	19,8469	18,0781
65,3845	15,8008	16,3232
61,9174	9,8203	23,0284
63,7056	8,0771	22,8763
69,9019	5,1558	17,1737
68,4686	6,5298	17,1756
65,6507	13,6887	15,2010
67,5427	8,3349	16,6495
66,9907	13,6867	13,2963
66,7909	10,1158	17,1779
64,3353	16,7280	15,7672
67,1648	13,7677	17,7993
67,0104	4,7315	15,0568
70,6979	5,5350	16,3570
72,2580	4,6856	13,6074
68,9589	7,6249	15,5195
58,6959	20,5725	13,3579
68,5614	9,7798	13,3336
63,8621	16,1709	11,7155
67,1720	10,3230	15,5116
60,7952	13,2376	15,3604
66,7213	13,0853	15,2031
64,1557	8,8067	19,9101
63,9241	9,1005	19,9226
67,0374	3,7010	16,1874
68,9877	6,7927	15,7950
61,1041	18,0151	14,7836
65,8359	10,5742	16,6910
62,4085	16,1105	11,1941
65,9003	12,3628	14,5770
64,3340	19,4139	18,8044
62,7403	16,5702	14,4284
69,2324	6,7214	12,6568
70,6565	6,1111	11,7809
72,3839	5,4859	11,5158
67,7137	12,3518	11,8275
64,7548	16,6697	10,9000
67,5656	13,1073	11,7663
64,6663	16,9008	11,2914
62,7191	19,2519	11,7237
63,2780	20,4756	13,1632
61,3250	19,2618	13,3129
64,8453	9,2611	16,0840
64,7796	8,8541	16,7735
68,1807	5,5232	12,0851
66,1815	8,4227	16,9959
55,9336	22,9278	13,6626
62,5667	14,1375	15,0560
61,2609	15,8682	13,9092
62,9779	11,2874	16,2700
64,8062	16,7288	14,6418
59,9733	20,6183	15,0408
67,9863	7,8702	16,9309
68,7190	6,5570	16,3697
72,1560	5,1489	14,0299
71,6276	5,5958	15,9468
71,9070	8,1543	14,9779
70,7620	12,6947	14,1855
67,9791	12,0302	14,8341
61,5426	25,9163	16,3344
67,5714	14,9267	15,4463
64,3397	18,3597	12,4684
70,8384	5,3793	15,5962
68,4766	5,2053	18,3528
70,5371	4,8031	16,5342
69,9587	5,4026	15,3159
64,7567	16,3412	14,2861
65,8540	12,9850	13,6089
64,6910	18,0136	11,5120
66,5700	11,7779	13,8200
69,2219	15,0750	17,5369
64,9531	16,0079	14,8036
68,8512	9,5360	17,1852
68,2460	7,3302	17,4749
71,9993	4,2880	13,4997
68,7762	7,0143	18,8007
61,9137	19,2428	13,8379
68,7206	9,5083	15,5293
64,6987	16,5683	13,2991
64,5643	14,9196	14,2029
64,4675	16,6633	15,0346
65,3381	16,3359	16,4330
68,0130	7,9349	14,8699
70,2640	6,0437	14,5767
73,3530	5,1373	10,5010
70,7605	7,6088	12,0119
61,8313	17,4130	12,0882
69,5917	9,7029	13,6217
67,0855	13,2841	13,1984
66,5887	13,4399	13,1370
64,0818	18,5886	15,9620
67,2440	14,2568	15,0389
66,3467	11,1737	16,7686
64,1571	9,6555	21,3237
65,4595	9,7063	22,0455
69,5511	7,3534	19,1250
63,8127	16,5957	13,8761
66,5426	11,8639	16,2145
62,8382	16,3677	15,5380
66,4782	11,7152	14,9064
61,7369	22,8928	19,9163
66,2765	16,1754	19,7603
63,0637	8,4317	17,6317
61,0110	9,5081	20,6406
68,6161	5,4273	12,4234
62,6991	12,1229	16,1673
58,6235	20,1181	12,3270
61,9611	11,4718	15,3334
60,1594	16,3471	14,8699
65,4701	10,0330	14,5548
65,5195	15,4806	14,3726
66,9861	16,2292	15,3820
69,9907	6,0784	14,0288
70,2312	7,2906	12,9130
73,4856	4,2989	9,5043
74,7674	3,4760	10,5381
66,7677	14,5345	10,6225
72,0382	7,9980	11,1284
67,9005	11,8503	12,6766
71,3872	8,6093	9,9603
63,9824	18,3206	13,0527
65,6978	14,5746	15,4384
65,1873	8,9842	20,9745
63,8726	6,9346	21,1808
69,6470	5,4533	16,2681
70,4408	5,9799	15,8009
66,8480	12,2416	13,0495
69,9368	6,9809	14,9402
66,2707	13,5352	12,7748
65,7266	10,8050	14,5977
66,1450	18,2742	13,3254
63,5525	17,2551	13,6917
68,6571	8,6819	15,7050
68,6615	6,8473	13,6964
72,0523	4,7683	10,7748
70,4641	7,0259	14,1639
66,3727	14,9577	11,3747
67,3922	9,3618	12,1075
64,3002	15,2401	11,7855
68,8590	9,4490	12,9753
64,0254	21,0251	16,3363
67,1052	15,4549	14,6104
66,6229	5,8522	20,0839
66,3426	5,8986	22,1656
70,7353	3,9034	16,3322
68,0567	7,4494	18,4118
70,1896	10,9029	16,5237
69,6883	8,5518	17,7615
69,7520	11,1345	15,3829
67,1756	8,5938	16,5929
63,2155	12,9853	14,0489
64,7827	14,7370	17,3297
67,8201	8,2447	17,7970
66,8043	6,5146	18,3632
70,5940	4,1594	13,4190
69,2415	6,2579	15,8704
59,5987	18,7832	14,9457
66,3531	11,4498	14,4295
62,7414	15,4665	13,7450
62,4491	12,7937	15,1481
62,9455	20,9825	16,4502
61,3377	18,7586	16,4699
64,8768	8,5383	20,1818
63,6872	10,4945	21,4214
68,6653	6,6093	16,6241
69,0030	7,2497	16,5778
64,9684	14,5360	13,6308
65,4652	10,9571	15,4417
63,7755	15,8474	14,4610
65,5014	12,2389	14,5679
63,5420	19,1073	17,0239
63,6891	16,3053	16,4467
59,6680	7,3232	19,6213
57,9198	9,5659	23,1615
58,9138	7,3053	19,5806
60,0895	11,8931	20,7024
56,6289	17,8047	17,2657
60,4817	11,6825	20,0949
60,7885	15,7981	18,8959
62,3700	11,2053	18,8462
56,0980	15,8895	16,9070
62,2207	17,5728	18,3558
67,4879	7,4440	16,5424
67,2188	5,8942	17,9711
70,1389	5,4186	14,1694
67,5225	8,3112	16,1493
57,3085	19,8387	14,3146
65,1318	11,1334	15,0696
63,9959	14,2113	14,1590
63,1585	11,8669	15,1328
63,4556	19,7474	15,3928
61,6759	17,3718	16,4370
63,2507	10,0481	17,4601
64,7025	8,8447	20,2523
68,1786	6,4605	15,4245
64,6574	9,3303	19,7561
66,4075	15,3094	15,2703
64,9033	13,0788	15,1303
62,1627	19,1892	12,5260
65,5033	13,4274	15,1970
66,2899	17,3296	16,6582
69,2503	13,0671	14,9600
67,5737	9,9956	15,6876
70,6381	5,9189	14,4347
71,3826	4,7629	11,4721
71,2712	5,6153	15,9225
66,4614	14,6142	14,4004
71,5279	6,5283	13,2739
64,9607	16,5845	12,3563
68,4495	7,0664	13,5412
61,8933	24,5874	17,1754
68,0524	13,5041	17,0192
65,0076	10,7576	15,7590
61,2048	9,6856	19,8798
64,1955	8,8120	16,4034
64,3192	10,7728	15,4368
57,6394	19,8811	14,6570
62,1081	11,8713	15,7292
58,5458	18,7859	13,3956
61,5465	14,9863	14,5577
60,7212	15,3904	16,3784
59,8866	19,8167	16,2484
61,0554	12,2850	21,5324
62,1396	11,0550	22,0812
65,6798	9,2895	19,7677
59,6117	10,0414	22,1904
63,7918	14,0353	13,6950
64,9197	10,9143	19,9429
68,1000	12,4808	15,3965
65,3189	11,3582	13,4769
65,1125	19,2778	20,2030
65,8233	14,7156	15,5711
67,4560	7,8735	16,2811
63,3602	9,6267	21,0218
69,2281	6,0421	16,5325
68,6919	8,1327	17,5676
66,0604	14,5349	15,9946
66,6270	10,5177	18,6931
66,2055	12,4705	16,0759
66,4622	12,2064	17,9968
62,5194	21,3419	14,1296
68,1298	14,6867	17,0643
75,8347	4,3138	16,7363
74,4155	3,4237	14,5490
74,8227	2,9052	12,0199
74,5988	3,7612	14,2829
68,0373	10,1941	14,5555
70,5255	7,5866	13,6267
71,5167	8,1900	13,7780
69,3879	9,4058	14,0876
68,5379	13,5870	17,2475
67,4750	14,4172	17,8010
61,5310	12,0810	12,9648
64,9778	9,2479	12,8785
66,7884	9,0141	11,7563
64,3345	14,0189	13,2851
60,4935	19,0996	13,8738
59,5916	19,6070	13,6270
57,1785	23,2133	14,1515
61,3543	20,3386	15,1520
66,1270	15,5030	15,1409
60,5809	17,7974	15,0010
64,7075	8,3364	22,8593
64,0733	7,4687	21,6861
70,9005	3,5248	18,8371
68,2881	4,9095	22,0830
64,2754	14,5165	16,3411
64,8550	9,5492	22,4179
64,8152	15,8261	16,8227
65,1198	10,9332	21,2031
65,2599	15,8639	21,6354
66,3238	12,2342	23,1362
68,6379	7,1938	20,3046
68,7808	6,0875	17,3887
72,0998	3,9647	13,9033
68,7936	7,8402	14,2781
65,2495	16,5599	15,8144
64,0470	11,4562	16,6166
59,0202	21,4098	13,2593
66,7669	12,1201	16,3253
63,2082	19,1813	15,2575
65,3443	14,6323	16,1823
67,8786	7,9250	18,0634
68,3016	7,4901	19,5840
72,9165	4,0722	14,0215
71,7510	6,7169	15,0767
65,2251	14,9897	14,0616
71,6666	7,4378	15,0026
68,9582	13,2255	12,8542
67,8858	11,4454	14,4843
63,9027	17,0666	15,4161
67,3844	15,2858	17,3190
66,6108	8,4609	16,4741
63,7024	8,9012	18,7141
69,7288	5,9019	13,7230
68,1312	8,2953	14,8737
61,1783	17,7973	12,5716
68,5243	9,8184	16,6871
64,2048	16,8550	11,4545
64,3696	14,2056	14,9976
64,2568	18,3418	17,2749
67,3938	13,3846	15,2039
68,5696	7,5239	18,5239
67,2838	7,3179	19,6086
