L	a	b
55,4450	9,6325	16,6080
49,9838	10,1950	15,5215
50,1405	9,8269	13,1313
51,3856	13,1266	15,5131
61,5475	9,0474	16,4961
49,1815	13,0626	18,7325
58,7590	7,9494	15,6680
50,5468	12,0730	19,0322
51,7920	13,1692	19,7885
56,2316	11,2471	17,6599
45,6936	8,9563	15,6096
47,0996	10,9633	14,0103
52,6526	9,2469	17,6574
61,6418	11,1228	11,5220
52,3354	7,9728	17,0524
59,6942	6,9460	16,1315
53,0253	9,9650	17,1779
57,1824	9,9245	18,8804
57,4932	11,5569	15,2799
56,6875	12,8488	15,8004
52,5599	12,0819	17,1820
54,5523	10,0212	17,5526
58,1210	9,8845	13,2450
52,1042	10,0913	18,9796
54,1389	10,8612	17,8000
62,8262	6,4259	16,2545
59,9420	11,9009	16,8869
65,1943	9,9522	12,2325
59,0317	13,1563	15,2005
63,5307	11,2075	15,9591
58,5738	6,3188	15,7643
68,7244	4,5404	13,6177
61,2576	7,3692	15,7755
66,0087	3,6492	12,2219
59,1966	10,6179	16,3425
61,2150	8,7517	16,3999
62,0491	11,4546	12,3170
61,5340	11,3763	14,8069
62,3934	7,4107	13,8056
67,7573	6,0758	13,5070
59,7937	7,7826	17,3055
62,7061	7,7264	17,4731
43,5635	11,4625	9,7497
60,3469	10,1409	15,4060
61,1712	10,7830	17,2926
64,1042	8,5157	14,5630
60,9192	7,5075	15,5210
59,5523	11,6962	17,5939
62,7555	8,5181	17,1548
69,5910	5,8353	13,0134
62,1521	7,9049	14,8906
64,1245	5,4141	14,1058
59,0869	10,5573	16,4516
56,9524	11,9041	17,9754
64,3562	8,8330	13,5278
58,3620	13,1615	12,9248
63,1430	11,0425	14,9906
61,5088	7,0124	17,7254
66,9478	5,1461	13,7221
62,1303	5,3325	18,8194
63,6063	6,5441	15,1692
46,6155	13,1134	12,8262
52,2488	14,8395	13,4207
52,0963	12,4360	11,3069
54,9212	13,2379	15,3061
47,5248	13,3759	12,4703
51,5386	10,9431	17,4852
60,5869	8,4583	16,2794
52,3842	9,4036	14,5304
58,6694	8,2941	15,7952
51,6215	12,3792	17,3786
55,3709	11,6266	17,7652
51,7182	12,2236	16,2622
60,3458	12,2969	15,0095
51,8275	13,1765	16,6866
55,8273	9,2940	17,2304
65,3485	6,2591	12,7481
56,7484	7,2429	18,5768
59,3413	7,7530	15,2215
55,5907	14,3439	15,6852
57,4468	13,3749	16,7727
58,5922	11,4706	13,8137
56,5092	16,4227	12,7989
50,9614	10,8175	12,5243
56,1544	8,9186	15,4187
63,1418	6,1746	13,7873
52,1878	9,8133	18,1078
55,8139	8,9597	16,2903
53,9637	10,5574	16,2911
56,4520	9,9425	17,8885
58,3267	10,7771	14,7090
60,5526	12,2458	13,8865
59,0601	9,4945	16,5706
56,6102	9,0264	19,2116
62,7512	6,7277	16,2206
56,2097	7,2474	18,9041
62,8214	5,9566	16,4090
59,9018	12,8869	14,1735
61,5391	9,4687	17,5633
60,9599	13,3153	11,7601
60,9588	16,4893	11,8676
58,6437	13,9775	13,8739
61,1290	7,1326	13,8747
66,6529	5,7321	13,4860
62,6252	5,4346	14,3040
64,7131	4,6569	11,1503
55,7584	15,1791	15,5155
58,4704	9,8319	17,3654
57,7136	12,8349	13,6509
63,1722	8,2432	14,2249
55,0648	15,6145	15,9652
57,7514	10,3582	16,6432
61,1291	7,5461	12,7302
57,7527	8,2477	16,3987
62,5528	5,7274	14,5694
54,4219	13,9522	16,5140
57,3418	12,2342	17,0406
56,0912	14,4851	13,5185
61,1348	12,5351	13,5496
53,9286	16,0784	15,4696
56,2980	11,1808	17,2091
63,6091	7,1536	12,0896
59,6974	8,0902	16,0182
61,7209	5,9581	15,1433
51,9839	12,7511	17,2122
53,3681	12,6116	19,8087
58,2716	10,4870	16,1663
58,9142	10,2713	16,2749
52,1145	14,4689	15,1051
51,0668	11,8974	18,0365
61,2892	9,3458	15,2365
51,5550	11,0787	18,2159
57,2197	8,0974	16,4341
55,3895	11,4490	17,9590
59,1720	10,4283	15,9815
60,5891	10,8632	11,5541
61,2701	12,5376	14,1119
58,3804	12,4838	15,2473
57,4735	7,7101	15,4765
62,1891	7,9997	14,6861
54,0804	9,1679	16,9462
60,5072	6,8165	14,8303
61,5497	7,7014	16,7366
62,0026	6,1422	14,1849
63,6710	10,0923	12,8271
65,7984	8,3158	12,6434
64,3199	9,6975	13,8810
65,8610	6,3675	15,7457
66,0239	6,1138	13,8184
66,1619	3,4585	13,5537
67,7870	2,5572	11,9971
56,5115	8,6617	18,5026
57,4153	14,2856	16,1506
61,1681	10,3701	15,3324
63,3088	9,4113	15,3854
58,9234	12,0332	18,0911
57,7959	10,2500	15,4925
59,7617	7,4614	12,6149
58,5304	6,5892	16,4852
61,0154	5,7106	14,9592
59,4091	10,0144	18,1930
58,7599	8,3521	21,9302
62,4509	9,1042	14,7302
61,0550	13,4832	19,9288
57,7189	13,4523	18,2640
58,1324	8,8774	21,5031
66,5371	6,4922	15,9749
59,9691	6,4486	17,1168
62,4691	5,0671	16,6635
58,9711	7,7050	18,5960
63,7299	6,7026	16,9575
63,6641	6,2689	14,4941
60,2650	10,8876	12,6177
60,7047	10,3357	17,3327
59,0842	6,4698	17,1659
63,8808	5,1034	13,8957
58,6408	7,2178	16,4925
61,2173	6,1940	15,5300
54,4182	12,4297	17,1082
60,0831	9,2087	17,5302
62,2321	10,5585	13,9602
59,1852	17,1294	13,5488
60,1827	13,8461	15,0635
60,4622	8,1281	19,0554
69,4226	5,9685	12,8507
61,8431	7,1804	16,7820
64,2447	5,2560	14,1429
60,8646	9,5789	14,8283
62,7813	7,1704	16,7571
63,8070	8,5292	16,3016
62,2115	12,6199	14,9028
60,4309	12,1977	16,2267
61,7250	6,8054	15,4892
64,0198	8,6756	12,5005
60,9220	6,6220	15,5117
63,4615	4,3234	14,0253
56,4545	11,3111	17,0322
57,4470	10,4032	18,1816
60,3919	9,5174	13,8441
61,4926	7,6887	15,9191
56,1038	13,5173	17,8917
49,5012	7,4731	16,8159
62,9006	7,7290	11,5677
54,3424	7,5109	18,0751
58,4014	6,5253	15,6041
54,6235	15,4512	14,8154
57,4611	12,9293	18,1533
56,9727	11,4636	15,1536
55,6767	15,8314	11,1115
50,3359	13,4004	13,7721
56,3113	8,6533	18,1294
63,7523	8,2548	14,1826
58,3699	8,6679	15,8868
62,2208	7,4664	15,6381
49,0090	11,7516	19,5507
54,3041	11,1051	21,1150
54,6627	11,4801	18,2676
60,7764	10,2467	16,6302
54,3517	12,7214	20,1522
49,7791	11,1627	19,9130
60,5594	8,2850	15,0265
51,0121	9,9379	18,9789
52,8739	9,0433	19,2178
54,5587	13,0422	18,7877
61,3623	10,4358	18,5131
56,9275	12,0003	17,7180
60,5521	10,9468	14,9642
55,0746	13,4762	17,9689
56,7709	8,6835	15,5163
65,6922	6,3853	13,6704
57,5797	9,1709	18,8123
59,5423	7,0083	16,6709
52,5057	11,2512	17,8512
55,1016	11,7473	18,5862
57,5189	8,9802	15,7779
59,8740	9,0673	15,9403
50,0413	10,4329	15,2203
53,4790	10,6600	18,6743
62,6471	8,1573	13,6062
52,2866	9,1654	17,0743
55,6862	8,0407	18,2516
57,9267	14,4777	13,0663
61,3362	8,7523	15,9071
61,3278	10,9969	11,8292
67,9768	7,2875	14,4041
58,8220	13,2777	13,3619
62,5198	7,1995	16,3258
69,8147	5,3803	13,2504
64,5495	4,6904	15,6417
66,7832	3,2062	12,2491
58,0721	11,3348	14,4343
60,1181	10,2007	16,3358
60,4544	10,7759	13,6098
60,0266	11,6050	14,5746
59,2943	12,5412	15,1487
59,7680	7,9868	16,7807
62,1609	8,9869	13,3730
57,0437	8,0145	16,1093
64,2390	4,4413	14,8711
57,3888	11,6634	16,5111
59,6918	9,6794	18,0432
63,5810	7,3133	13,2121
63,0603	6,4208	15,7112
60,7234	11,9262	15,8535
60,1077	7,5207	16,2494
64,8669	7,1304	12,4169
61,1206	6,0844	16,4227
64,4310	3,4382	13,5954
58,6148	9,9470	15,3357
59,9970	12,2924	14,9534
60,3795	9,7170	13,9547
62,4204	10,2512	12,6746
59,1457	11,3941	15,4274
58,8285	8,2969	15,8728
61,9243	6,2618	12,3724
55,5968	8,8458	16,4326
61,1139	7,0075	15,5211
49,6222	13,3259	18,9222
58,0660	12,8548	16,6382
55,3045	11,1807	16,2905
59,6971	11,6344	15,7688
48,1753	15,3704	14,8349
58,3277	9,9180	17,0183
62,7423	6,8683	13,3847
56,1100	8,4963	17,5795
60,1401	6,9852	17,9479
56,5036	10,4614	16,4472
55,8511	15,1631	17,7910
59,3221	9,5289	16,0865
58,9354	10,1910	14,7211
51,0409	13,5237	17,3265
54,7496	9,6842	15,8424
51,3840	11,6984	10,5708
52,0104	8,8931	16,9130
60,1668	6,4280	14,6509
57,4164	11,4003	15,6974
60,8210	12,0495	17,5365
65,6270	6,5203	13,2134
62,3976	8,7882	14,7805
62,4298	9,8823	15,4674
62,9180	6,8030	16,1194
63,9599	8,3374	13,6733
63,7544	4,1606	15,8879
65,1398	3,9370	15,1736
58,9755	11,3061	16,0532
60,8970	9,3451	17,7379
63,6496	9,0648	11,8627
61,3597	12,0357	16,0247
55,7266	12,8661	15,1235
59,0215	6,9084	18,2211
65,7522	6,5525	13,8347
57,3262	7,5255	16,2570
62,8937	5,2645	14,6266
59,5950	11,4775	15,3618
58,7874	8,8208	16,9258
63,1470	10,0215	13,6374
68,1179	6,7430	16,3993
58,2952	13,9025	16,1777
62,6051	6,5651	17,9314
67,5274	5,0948	15,0544
62,4564	4,6279	15,1856
62,9018	4,7200	14,2233
59,2434	9,2354	14,0537
61,9046	7,6288	15,9942
62,5514	7,4355	14,6035
63,9782	8,2053	13,7146
57,8392	11,9641	14,7626
60,0166	7,7035	16,5449
63,7632	7,8413	15,5297
59,3902	5,8882	15,0717
63,7262	4,5964	15,3582
57,7839	12,4146	14,6394
61,0306	11,8141	15,1795
63,1144	9,0284	12,1243
63,3791	10,1828	12,6357
60,4161	11,2742	14,7574
64,0439	6,0343	14,3504
66,2193	6,1783	13,2389
66,1081	5,5333	15,4006
67,8912	3,1249	10,9388
57,0144	9,3372	16,0036
56,7799	15,7966	13,4435
61,7949	8,0472	14,2108
58,6714	12,9406	14,7363
54,9653	12,8356	16,5861
56,7152	10,6493	14,8382
60,9052	9,4564	12,5873
53,7032	7,4301	17,7088
58,3817	7,4510	17,2028
52,7817	12,4384	16,5133
55,9130	14,8656	15,7116
55,0626	14,3871	16,3354
51,7888	12,6659	14,7372
53,5204	14,1122	16,4497
53,9615	11,5253	17,9432
63,2260	5,8748	13,0977
55,3103	9,8085	17,6812
57,3662	8,7104	16,0152
58,6486	9,8372	16,5576
60,8304	8,6753	14,6025
60,5373	8,8269	14,5189
62,1338	8,1199	12,1587
53,4467	9,9386	16,0696
56,6659	10,3965	16,4253
64,9413	7,4066	12,2372
61,1483	5,6130	17,8568
59,6070	6,7959	17,3085
52,8690	13,3508	17,4424
60,9200	8,8849	18,3824
62,3094	8,2394	16,7184
61,6818	10,6621	15,9810
57,3242	10,8955	19,4901
58,5739	8,8741	16,7707
65,0199	6,6138	13,6807
57,6842	5,7230	16,0517
62,5288	4,9719	14,2104
56,6580	12,1881	17,9143
55,2799	11,4115	18,3482
57,9088	11,4079	18,2594
63,4793	10,1581	13,4526
53,9397	13,2106	18,7835
58,8902	10,3944	16,4065
59,9663	12,0163	14,5966
59,1085	7,2818	16,6978
61,5603	6,2173	16,4729
57,3008	11,1860	16,6477
58,5755	11,7902	17,6373
60,2762	8,7454	17,0260
60,6564	14,3506	15,3983
56,1476	11,1448	18,1081
46,7098	11,1775	19,6059
61,7581	9,0320	13,2744
55,6658	9,1488	17,2713
58,8829	8,5212	16,4627
56,6722	10,3255	17,5049
57,2551	14,1408	14,7811
61,4977	8,1548	15,8123
63,3377	9,9586	14,8826
54,0788	8,3087	13,9743
59,2980	8,0349	17,7093
65,2812	6,9583	13,7954
59,4965	6,6712	18,1170
62,9163	5,7938	14,2741
61,1597	9,4193	14,8517
61,2691	11,7185	15,2975
62,4050	8,3462	13,8725
62,8118	11,7882	12,6980
56,5592	11,2387	16,0763
62,2441	6,3938	16,4411
61,3285	6,7380	12,7926
60,0314	6,0881	17,3178
63,2540	6,0214	15,3137
56,9276	13,3868	14,1664
61,5701	9,3988	17,6595
60,7336	10,5147	17,2033
66,8284	9,6324	17,7457
56,9461	12,4242	18,7611
59,3805	9,3744	17,7410
54,5944	9,7618	14,7274
57,8727	9,1287	19,7648
63,2926	6,8089	16,6623
55,0969	13,7718	15,1265
60,7436	10,8190	16,8658
61,6233	9,5857	15,5092
62,6960	12,8762	15,4518
59,0156	10,4384	17,6853
56,4942	9,0136	16,5760
62,2335	7,0414	11,2819
57,8950	8,2041	16,9924
60,3401	6,8994	16,5634
59,2930	9,8369	15,7696
55,9422	13,5538	15,5008
62,1605	9,1523	14,1336
60,1755	13,0725	12,7510
57,5819	11,4250	16,9696
57,0149	9,3845	17,1011
66,3518	7,3010	12,0582
57,9207	7,0000	17,6623
59,9480	6,5095	16,1246
54,6482	12,2863	17,2089
54,8539	11,0308	20,1683
58,0180	12,3605	14,0539
62,9031	8,4188	17,1960
55,3580	13,4573	18,4729
58,6425	7,4107	19,0503
65,3206	5,1630	15,2312
59,1630	7,0850	16,3369
62,4371	5,6939	15,4204
56,3020	10,3450	18,8036
59,0676	11,8624	16,8185
61,2171	8,0071	14,3144
62,6675	11,0118	17,0206
58,7663	12,6299	15,4254
58,3694	7,2620	18,5289
64,1303	5,3725	14,5544
59,7763	5,4194	17,5479
63,6844	3,6982	12,8269
53,1873	15,0937	17,2158
58,6191	11,4979	16,7124
57,5474	11,3225	15,7271
63,9425	11,3157	13,8623
50,6779	10,6832	14,2741
54,0226	11,5884	16,3661
59,6513	10,1127	12,3307
55,5403	8,1288	17,5769
59,3460	7,9275	15,6760
56,5044	13,4608	15,8013
59,7352	7,4407	16,2337
63,2620	8,1320	13,5615
57,9299	14,5406	14,2212
60,4947	11,6193	15,8234
61,1865	7,6417	16,3919
64,7126	6,8136	10,1256
59,3270	5,3358	15,5631
63,2646	4,4592	14,8573
57,4545	10,7583	18,0910
58,5450	9,6467	18,6366
52,6543	16,1619	13,9721
57,8821	15,5873	14,9845
55,3584	12,6037	15,5778
58,1829	9,5458	18,7805
60,1004	9,1583	15,8762
59,1128	7,6553	16,7599
60,3115	8,0979	17,0189
58,3498	10,7639	16,0793
63,3927	8,9902	16,1412
66,4153	7,0293	10,8778
67,0287	6,2323	12,4007
65,1472	10,1406	13,4175
57,5371	5,3892	14,4531
65,4153	7,9512	13,8531
63,2759	5,3376	15,4700
64,9957	4,4558	14,1570
63,0853	8,0477	14,6608
63,8919	7,4238	15,0904
66,0438	6,6254	14,0751
67,4096	8,2337	16,1675
63,0592	10,2360	16,4777
62,2867	7,6324	15,9650
67,2052	5,2238	12,1008
62,0061	6,7386	15,5727
65,1817	3,5572	12,4194
56,9996	12,4290	16,1944
62,5249	9,9177	18,3342
59,7543	11,4409	13,4193
63,7516	9,9067	13,1463
60,1457	12,2891	15,5983
61,3791	8,2087	15,4798
65,4718	5,6771	13,7756
62,4462	5,0101	16,5521
60,3405	7,5226	17,9547
57,8984	8,8373	18,1852
62,1502	8,3403	18,2014
63,9882	8,4922	11,6726
64,2379	9,8145	14,4913
59,9513	11,5146	16,3200
59,7441	9,0238	19,0563
64,5426	6,4703	12,7353
56,7926	6,4996	17,1193
63,3175	4,1211	15,0914
62,1520	8,7462	17,6778
64,0200	9,0318	17,4823
64,1836	8,7294	14,4502
59,1403	12,8232	16,1610
59,6135	13,0954	14,9638
58,2409	9,1642	16,4281
63,3560	7,1244	12,9856
60,8744	5,7414	14,9602
62,5019	5,6010	14,2977
58,1295	11,8421	17,6936
61,5978	10,9674	18,1360
61,1503	10,7115	14,8598
66,0709	8,1438	15,9356
60,3139	12,5214	16,5486
60,6008	7,4022	16,7757
66,3285	6,5691	14,4860
61,0210	5,9730	17,6435
64,0144	5,5880	16,1100
59,1910	11,9746	15,2157
61,4598	10,8883	17,2891
61,8005	10,0001	13,1269
60,3144	12,7338	13,8145
55,6337	15,5603	15,6826
61,2103	6,9388	16,3904
59,9036	6,9705	12,7912
57,4955	7,0195	16,6970
61,8147	5,9993	14,8406
61,2528	8,5290	16,6342
61,5778	9,2690	17,7402
64,2160	8,0222	13,9630
65,0997	8,4265	15,6277
62,5068	10,7890	17,3716
61,0550	6,8715	16,2475
66,6813	5,5572	13,4083
61,2528	5,0606	17,1409
62,6553	5,3406	15,3233
61,8043	7,7081	16,4203
62,1405	11,6349	16,4763
60,7628	10,8719	14,0639
58,9297	13,0485	11,8071
57,2886	14,8092	17,5553
60,7901	8,5356	16,7575
65,3082	7,4536	12,1524
62,2408	5,4850	14,5728
64,8189	4,8380	12,7036
58,6264	9,6837	15,9115
62,0069	8,9149	18,0247
61,8539	10,4001	13,5909
65,2602	10,1148	14,0214
57,1080	13,0741	16,3397
60,2970	7,8622	15,3480
54,9091	8,1745	12,3464
59,7738	6,9674	16,6476
62,0237	5,7111	16,0521
53,8101	13,1752	17,7070
61,3783	9,0080	18,7930
57,6284	11,5920	13,6658
61,2873	12,4396	16,5044
57,2264	15,0676	16,6447
62,2713	7,9830	18,4014
60,3254	10,5015	15,5894
59,5309	6,7194	15,8756
62,8083	5,4168	14,8842
60,5752	8,5483	15,5955
61,4802	8,1690	19,0316
63,0865	7,7180	13,1091
59,6123	10,8607	12,8535
58,9352	10,4447	15,7271
59,7414	7,0447	16,4239
62,0167	6,8874	14,7943
59,6680	6,3796	15,6519
64,8536	3,9371	13,3060
59,2099	8,3362	17,4934
64,8562	7,4917	17,0789
61,4873	9,4967	14,1905
61,2306	9,2659	13,5932
60,0297	11,9274	17,1425
59,5616	9,0515	16,4579
63,1423	6,5127	13,9244
60,1079	6,1561	16,8214
62,6084	5,9536	15,0170
60,7512	8,7423	17,8272
63,0370	9,8138	17,3153
64,1403	8,5644	14,1275
63,4864	8,6950	16,6196
60,2997	10,9312	15,8831
55,8182	8,0934	12,1311
46,0562	8,3908	11,9481
61,0957	6,7764	16,1465
64,2220	4,1612	12,4280
61,3545	8,9062	15,2417
56,8786	14,2592	15,0676
55,6966	13,7796	12,6648
56,4590	15,1017	13,1502
55,0915	11,2471	14,0529
60,9606	6,4388	14,0523
60,6600	8,6485	14,0949
61,5788	4,4107	14,1705
64,4247	3,9981	13,1223
59,8896	8,7513	14,8716
60,6971	9,9579	17,0369
59,7401	11,1475	15,0911
61,3255	10,7021	11,5528
57,1905	10,5164	11,9880
56,4836	12,0590	15,5520
59,9560	9,8409	13,0113
56,5226	9,1474	18,0404
64,3451	5,2937	13,4482
56,4581	11,8155	15,8197
58,8787	12,1758	14,1630
56,2969	13,2125	14,7811
58,8768	13,1842	13,1035
56,7114	11,1597	15,3118
59,7763	7,3128	15,7159
65,4412	6,8371	11,9704
57,2670	7,4480	18,9825
62,9157	4,5987	12,9957
58,0294	8,8415	18,1461
58,0242	10,8017	18,9257
59,5906	10,4557	15,2963
54,1420	12,8661	15,3161
57,6681	13,6756	17,7841
57,3404	10,2884	17,3081
66,1100	6,4436	13,6906
58,3545	7,2867	17,6213
61,4347	6,9741	16,0713
63,1411	8,5921	15,4445
63,8915	9,1975	17,0232
59,7497	12,8060	13,9865
56,7192	7,8837	12,1346
58,4114	12,8933	16,6131
59,5420	8,3579	18,1652
65,8840	7,8775	12,8853
60,8656	6,1255	14,8034
64,7485	4,8016	12,2364
60,9386	7,7077	15,7856
62,7729	10,7123	16,2537
64,7380	6,8744	13,6021
56,5501	12,3716	12,0430
63,0821	10,5536	15,8783
59,1400	7,2818	16,3052
65,5548	4,8563	12,5083
58,4558	5,8521	15,3173
61,3111	5,4048	14,4629
55,1556	9,0890	17,6116
59,2960	9,4886	16,6177
59,9507	11,6584	14,4160
51,8370	11,2955	12,8307
59,9000	11,4437	16,1837
58,7217	9,3853	16,7840
62,3256	6,9122	11,0234
56,0959	7,1296	17,1895
59,7886	6,2173	15,5710
59,1603	8,5733	18,7306
64,0918	8,4453	14,3184
63,2666	11,0187	14,0088
60,2596	11,0050	16,2228
58,6341	7,8010	16,8677
63,5787	7,8204	13,5371
62,8810	5,4337	15,6802
65,7067	4,2360	13,8251
59,1236	6,6132	16,8257
61,1790	7,8683	15,7785
62,3992	12,2591	16,1585
58,6044	10,4329	17,3151
55,0813	8,4464	18,7810
66,5589	5,7403	14,3530
57,9342	7,6180	18,1015
62,1298	5,1690	17,4658
56,3974	10,4121	16,3401
42,7987	9,8477	13,6316
60,3644	8,0550	15,0474
59,0236	13,1879	12,8628
58,4672	11,5034	15,5461
60,2913	6,0040	16,8856
44,4737	7,5953	13,1591
57,8270	5,8833	17,8446
60,1066	5,8023	17,4032
51,2960	16,6129	15,1231
57,3220	7,7677	20,5620
59,9717	8,7888	13,2954
42,1540	14,5248	11,7160
51,0786	16,3602	15,6605
51,5997	8,5809	17,4817
43,7657	11,2133	11,8613
54,4261	7,6323	17,6969
56,8160	6,7325	17,3002
58,1078	11,0068	17,9804
57,7585	10,9488	16,2813
57,3946	10,1558	17,1730
55,4050	11,0702	16,1240
58,0660	9,3546	16,3191
57,8172	9,6628	12,8855
59,6806	7,7860	17,3767
62,8517	6,2776	17,3002
55,9611	12,4446	14,9464
57,2394	13,1464	15,6830
54,1660	15,7782	13,4581
59,4310	14,0188	14,5152
55,3367	12,5998	15,0020
60,0590	8,0778	14,5856
60,7740	9,0581	12,0176
60,7266	6,8182	15,0924
64,1600	5,9252	13,5103
56,0662	12,3279	16,6582
59,2662	10,5683	16,6800
55,7461	11,1372	14,5217
54,5746	11,9068	11,8540
56,7665	8,6316	14,4721
56,6209	8,1370	17,4694
56,2933	8,0458	13,1008
52,6150	7,0261	17,3713
63,3489	5,3644	15,3720
56,4335	12,0967	17,1556
58,3869	12,9913	15,3419
58,4472	9,6001	18,4274
63,5714	10,7455	14,7996
56,2203	12,6865	14,4664
53,9494	11,0361	15,7790
64,2514	7,0765	12,8857
55,8446	9,5527	16,9457
59,3806	6,9425	17,2080
54,9979	11,2802	17,1230
58,5347	11,9251	16,0841
56,6834	9,5656	15,6796
57,5333	15,6569	13,7388
52,3966	11,1319	15,7864
57,1225	9,6743	17,4503
59,6938	8,3131	13,8896
57,4068	6,5645	15,8543
61,1906	6,5180	14,9239
56,3498	13,7496	16,0297
59,1746	12,1831	16,4635
58,9728	9,2276	15,9933
62,5471	9,8839	15,6804
54,4983	11,6258	18,6650
54,2016	9,2441	20,2625
47,6744	8,3358	13,3874
52,3829	8,6008	20,3468
56,0292	7,3692	18,7163
60,4793	10,3131	15,1311
60,5179	11,2145	15,3204
60,8118	10,4152	13,8147
63,0498	10,9102	12,4518
62,7275	9,3571	16,1471
59,5574	7,4252	15,4018
51,5014	6,1575	11,8697
56,9112	6,4176	17,1401
64,2730	4,8978	15,2231
52,0750	9,0070	16,0312
56,8106	13,7519	17,0495
58,0287	10,3176	16,2363
59,1022	14,0922	15,1786
55,2040	12,3557	16,5743
56,9110	10,8362	18,1216
49,7662	8,8335	13,3347
55,7964	8,7220	18,9897
59,0067	7,5563	17,4113
56,2966	12,1530	18,3784
58,8050	10,9424	17,0003
53,9754	15,6348	15,8160
60,6789	10,6900	15,3687
51,4235	10,8831	17,0970
50,8799	10,3499	20,7547
60,3907	7,2678	16,1127
53,7495	9,2505	22,2504
55,1153	9,2512	18,8597
52,2777	15,1686	16,2354
57,0966	13,0360	16,8762
56,5387	10,5221	14,9268
57,8305	13,0909	15,2447
54,1702	13,5567	16,3445
59,7377	8,3037	17,5275
58,1383	10,0199	14,1422
57,4054	6,9751	17,3381
59,9645	6,6209	15,9395
54,2978	15,7144	14,9743
60,1305	11,8652	15,9002
59,2017	13,6902	13,4676
61,1886	13,1588	11,5856
58,8437	12,4767	13,9076
59,5117	8,4766	17,6024
56,9278	7,5131	11,8698
61,1906	7,9042	16,6599
61,9204	7,3923	14,4216
52,8615	11,5216	16,1607
58,4944	9,5569	17,2947
57,2944	12,6649	14,6512
54,6407	14,7016	13,3463
56,6251	12,8674	13,6344
58,2912	9,5584	17,6138
57,8022	7,9049	13,7005
57,9825	9,7403	18,1857
61,9605	6,9244	16,0530
62,0701	8,5250	15,4389
63,3640	9,1605	16,7026
62,5712	9,8547	14,8445
61,7441	11,8916	14,6257
60,9048	10,6088	16,2777
59,1658	7,7962	17,9588
57,1616	8,4868	12,9458
56,8765	5,8713	15,6456
58,7134	6,6634	16,2595
53,7019	10,5648	14,9380
54,6815	13,5244	14,7569
56,6605	15,2114	12,3811
61,5791	11,0344	13,5379
58,0076	12,3811	13,5239
59,2101	9,6815	17,4263
58,5695	6,9566	13,7936
58,4285	7,4214	17,4217
61,1462	7,1392	15,8381
56,1503	11,0488	17,2365
58,4510	12,3106	17,7947
58,8341	9,8865	16,7304
60,5450	9,9844	15,7223
56,8707	9,3931	17,8350
57,8548	9,6718	16,2166
52,0621	8,3157	14,3254
58,6904	7,4352	17,2490
63,8392	6,1242	15,1398
52,9282	13,7394	18,6995
56,7262	11,7840	16,2031
56,1049	10,5481	16,1656
55,5095	14,8699	16,8029
54,6985	12,8065	15,9466
56,8111	8,5526	17,3713
56,3603	11,8015	13,5319
57,3738	7,2616	16,9646
60,7406	7,4043	15,9029
57,1524	11,9355	14,8033
55,3607	12,4983	17,4221
57,0342	12,6174	15,9499
61,6287	15,0581	14,6312
55,1573	11,4917	15,8853
58,5859	8,3171	19,0108
58,5839	7,5936	15,1700
54,1258	7,6260	18,0193
58,9264	7,2129	16,3190
57,7350	11,2131	18,2014
60,3054	10,3734	20,2873
61,1804	10,1545	14,6079
61,3240	10,2173	15,6834
60,2659	12,9533	17,4941
57,8809	8,8481	18,5953
56,9049	10,3407	16,3319
57,5465	7,2239	18,3404
63,8328	5,2752	16,2748
56,6754	10,2724	15,2690
60,4635	10,5659	14,4903
57,4229	10,7080	13,4976
51,0151	10,5090	11,2258
56,0781	11,3121	15,5410
55,3228	9,0773	15,5195
52,7605	8,2531	11,4184
55,9092	7,0192	17,7374
59,5268	5,6003	16,0191
58,9568	10,5616	14,4284
60,2269	10,4816	17,1896
59,2767	11,3485	13,8457
60,1129	12,9684	14,0060
60,0949	12,3770	13,5247
60,5142	6,8210	17,1410
60,7036	10,6447	16,9094
61,0451	4,6782	16,5030
65,0823	4,3157	14,8656
53,8038	12,2913	17,5169
60,6797	8,8743	15,5167
63,4881	7,2411	13,1194
60,7738	9,9813	11,2702
60,2335	11,1986	16,2926
61,4458	6,1450	17,1011
60,1633	4,6570	10,9405
62,0227	5,6568	15,6643
62,6810	5,4040	16,2491
53,3247	10,5417	16,2423
56,7859	12,2488	14,4535
54,9024	12,4268	15,6893
61,6463	11,2561	12,5071
58,4405	9,7738	15,6657
55,9865	9,2516	20,6022
63,0417	7,1404	11,8858
57,9112	7,9943	18,3464
62,1984	5,4129	16,0857
61,2510	6,2059	17,5543
62,1240	7,8873	18,9852
62,9197	7,0900	16,0113
64,1889	8,8817	13,4497
62,2166	9,3320	16,9856
58,3117	8,7118	18,4819
59,7856	7,9656	10,8286
63,2340	4,6120	14,7607
63,2624	4,9996	14,1418
61,7109	9,1698	15,5932
62,5893	8,9031	17,3315
64,8569	9,1986	13,5762
59,9720	14,0744	12,8418
63,2414	11,2578	15,4582
62,6834	5,6895	16,8909
65,6059	6,2081	13,3295
60,7128	5,1551	15,9366
65,6895	3,3972	13,3250
52,7635	11,8318	18,4177
55,4141	13,4564	16,0089
57,2105	10,0678	15,7916
57,9591	12,1793	16,0810
55,1915	9,2309	18,5998
59,7989	7,2598	18,2071
64,7304	7,5919	13,1488
59,4033	7,1576	16,5463
63,7111	5,7903	14,7908
56,9740	10,3949	19,0451
